ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,resp_mime_types,orig_fuids,orig_mime_types,referrer,resp_filenames,podejrzany_user_agent,podejrzany_uri
1425567244.526155,ChwuPeh7J7NuITVKg,192.168.0.51,50684,192.168.0.1,80,1,GET,192.168.0.1,/uir/valChk.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FlDgG92F9waEZy1PRi'],['text/plain'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.538042,CRBLvA4adDvmvbExH4,192.168.0.51,50685,192.168.0.1,80,1,GET,192.168.0.1,/shelp_us.js?rc=1425567244533,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['Fg4AUv1zbD7dG0xhR2'],,,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.495751,C3Ym5Y1bdZrqd0GxD1,192.168.0.51,50679,192.168.0.1,80,1,GET,192.168.0.1,/uir/deschint.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FGLtcl1PZqXOiFPzuc'],['text/plain'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.496588,CV08yr2ASJehAwGGI4,192.168.0.51,50680,192.168.0.1,80,1,GET,192.168.0.1,/uir/dirary0.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FyxeVr3qZpu00cNb6b'],['text/plain'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.666935,CvW9x42ywNGOW6Aumg,192.168.0.51,50686,192.168.0.1,80,1,GET,192.168.0.1,/wps.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['FN2Q264AvUlVMgFF79'],['text/plain'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.667214,CYOXEv1XCxur6QIcWb,192.168.0.51,50687,192.168.0.1,80,1,GET,192.168.0.1,/ssetup_us.js?rc=1425567244533,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['Fordxc30wwLp5mR50k'],,,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567244.717167,CB4dXU2QwTc8OSkMOa,192.168.0.51,50688,192.168.0.1,80,1,GET,192.168.0.1,/favicon.ico,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,127,404.0,Not Found,[],['FPwSqs1dQiFPG1GAO7'],['text/html'],,,,,Nie,Nie
1425567248.410928,C0VCUi3eMkyMUTgfwk,192.168.0.51,50689,192.168.0.1,80,1,GET,192.168.0.1,/log/in?un=admin&pw=&rd=/uir/status.htm&rd2=/uir/wanst.htm&Nrd=1,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,0,303.0,,[],,,,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567248.422834,CCpJhc1ChUXhreN3xl,192.168.0.51,50690,192.168.0.1,80,1,GET,192.168.0.1,/uir/status.htm?Nrc=0&Nrd=1,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,1460,200.0,OK,[],['F9oPwv3yGAfEHL4Od8'],['text/html'],,,http://192.168.0.1/uir/wanst.htm?Nrc=1&ZT=1425567244495,,Nie,Nie
1425567249.816574,CQqBz828aCFFgSgM6j,192.168.0.51,50691,192.168.0.1,80,1,GET,192.168.0.1,/uir/func.js,1.1,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:33.0) Gecko/20100101 Firefox/33.0,0,480,200.0,OK,[],['F263BL57ggQvn9fD3'],['text/plain'],,,http://192.168.0.1/uir/status.htm?Nrc=0&Nrd=1,,Nie,Nie
