ts,fuid,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source,depth,analyzers,duration,local_orig,is_orig,seen_bytes,missing_bytes,overflow_bytes,timedout,total_bytes,mime_type,filename,podejrzany_typ
1428911037.67766,FdFISV2aTsUBlgI6A8,CDIZ1B2UdG7Ai4tmFg,61.160.195.10,2894,192.168.0.2,80,HTTP,0,[],0.0,True,False,214,0,0,False,214.0,text/html,,Nie
1428911038.157147,FbcTgo7l8g5DJts62,CDIZ1B2UdG7Ai4tmFg,61.160.195.10,2894,192.168.0.2,80,HTTP,0,[],0.0,True,False,205,0,0,False,205.0,text/html,,Nie
1428911038.637125,FmReIp10FcSCSw1mX,CDIZ1B2UdG7Ai4tmFg,61.160.195.10,2894,192.168.0.2,80,HTTP,0,[],0.0,True,False,206,0,0,False,206.0,text/html,,Nie
1428911071.277622,FwoKfh3f2UCGMpuxFh,CHQlVJMBXg9oo49u2,61.160.195.10,3627,192.168.0.2,80,HTTP,0,[],0.0,True,False,206,0,0,False,206.0,text/html,,Nie
1428911071.917595,FCFmLp15KW39VEaTj1,CHQlVJMBXg9oo49u2,61.160.195.10,3627,192.168.0.2,80,HTTP,0,[],0.0,True,False,206,0,0,False,206.0,text/html,,Nie
1428911072.557252,FGwTFy2nves9Xwu6R3,CHQlVJMBXg9oo49u2,61.160.195.10,3627,192.168.0.2,80,HTTP,0,[],0.0,True,False,206,0,0,False,206.0,text/html,,Nie
1428911073.197151,Ffn5Tf3Vwl8et6wDGa,CHQlVJMBXg9oo49u2,61.160.195.10,3627,192.168.0.2,80,HTTP,0,[],0.0,True,False,206,0,0,False,206.0,text/html,,Nie
1428911075.037706,FDfHpJILxCQqwi6Ih,CHQlVJMBXg9oo49u2,61.160.195.10,3627,192.168.0.2,80,HTTP,0,[],0.0,True,False,211,0,0,False,211.0,text/html,,Nie
1428911078.637645,FqORnP3T3HQFM2GDIa,CHQlVJMBXg9oo49u2,61.160.195.10,3627,192.168.0.2,80,HTTP,0,[],0.0,True,False,207,0,0,False,207.0,text/html,,Nie
1428911081.517713,FbwOXO3L5MxpNRm21k,CHQlVJMBXg9oo49u2,61.160.195.10,3627,192.168.0.2,80,HTTP,0,[],0.0,True,False,208,0,0,False,208.0,text/html,,Nie
