ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,kategoria,long_duration,large_transfer,resp_p,kategoria_portu,abuse_score_orig_h,abuse_score_resp_h
1428883230.929381,CUDmOOesdIy0zpzy3,gAAAAABnVyhgTdcNJEZgz59EUibgtLqdjqTASoKtYfWin8j7zb9URbuN523XnEiJWinidkmve6aTkVtHnFkXdJz6OUjeUPWyTQ==,62551,gAAAAABnVyhg1OybkTh8Kb3yuUyMWuVYX230242dyFq7k0a7tBs2XuZzH10-O4DkGb97j9W5T_bXhIkAiBIQoRmwww8TIWaqZA==,12350,tcp,,0.47718715667724604,5.0,5.0,OTH,True,False,0,DdA,2,85,1,45,Zewnetrzne,Nie,Nie,12350,Niestandardowy,Brak API,Brak API
1428883291.461246,Ck2TeL153taC1M86la,gAAAAABnVyhghbiVHuYrqqbjAih90AwOlh3ZhC_bQtnUSgL_m1WyO53NyqIb_w6C4r3adyDZuIpIbEv_vPEpQkjf67l4LYSOaQ==,52359,gAAAAABnVyhgkNyGyHmAzaLaelSY_RaJAwZMBcbpjcRBwo47P_hQfLsmSwGOKhAQP6B9GSb9VyBtP29Ebq8NEf7K4IjOQHBr_A==,443,tcp,ssl,244.12614393234253,3560.0,1539.0,SF,True,False,0,ShADadTfFr,15,4177,15,2211,Zewnetrzne,Tak,Tak,443,Standardowy,Brak API,Brak API
1428883486.90574,CIxdzB4GaKkzlnnbg2,gAAAAABnVyhgeBQcyWRXeRieDBOEj7S9ygP1OxgUsS7A3p88KMqwYTjY-dGhFY07cOocq2x4aVqBWXfg7Bo8vyIhtq1aKvStiw==,55269,gAAAAABnVyhgIgegAULYUfWaqnWSgtfk1VPzrTIFOImjumLNj8j7tBtANihwAdwa0TOrdbKzZy_ywMGoGeXlRTzHWTF6IMcjPQ==,40024,udp,,0.621237993240356,36.0,20.0,SF,True,False,0,Dd,1,64,1,48,Zewnetrzne,Nie,Nie,40024,Niestandardowy,Brak API,Brak API
1428883550.436888,CLucmnbcDwciljlj1,gAAAAABnVyhgN1flZ4SEnC6GRAlQaYsY1Wbh6TaARdbYV4Gj2Yz5VRwjDwQH9Lz22-HhORRCKK66F7zZMhJj4P6Vp7ieah7SSQ==,12470,gAAAAABnVyhgbTJDITvBZ649GwNZp4p2DeIO6AQ4N6bUiEewPdpjkFfmwGCke1UrvgEI1758Dz7JJkvTksP4BB-2a4PW0V0Jmg==,53,udp,dns,0.006289958953857,41.0,188.0,SF,True,True,0,Dd,1,69,1,216,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883550.436907,C90nRR12Dd9j0bXyh8,gAAAAABnVyhgBaTelxr_oK781fooYfnlTgWDeQzRY0Pxl3RFlsCLBbi7-7759NDLqMnBpI1OZmMmOC-IVV41Z6kgyHLJc1S2Mw==,12983,gAAAAABnVyhgR2i8ocaLQ4HkAVx0SuR9eZ00hqJkxO0C2jGX7sZr4e1W5rc6GcC9b9VblStMkk9HEYWEp1Tav9NkB_yV0-_VpA==,53,udp,dns,0.006279945373535,41.0,88.0,SF,True,True,0,Dd,1,69,1,116,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883550.436909,C4S0DU148WYaFE43sh,gAAAAABnVyhgoHSamtSPTRGjee5kT2icmiopH2lTL9WR07TGk9PR6VshdVBrJDX8nReaCcd53V7dH6NapBMWKD6-hNl19fEf6g==,3783,gAAAAABnVyhgTp3sghOUs9P0UKaPL5j0OHqDv_n-kBQLqjfv5bKG0tqJLm9xEhyI8KeK01iiSWuleiWvxO4YTqpidVCZO0600Q==,53,udp,dns,0.006279945373535,41.0,188.0,SF,True,True,0,Dd,1,69,1,216,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883550.646283,Cz9aN4co2jjrBCVQ4,gAAAAABnVyhgINtFGfxSmFckRj3J5B2DRSDKgxcCOZPAwQUEvxoBYgKp1e4s0rll_GAEie15UTlImZiGAK9xEC7ld6OUpbLrXw==,22531,gAAAAABnVyhgeLk8VNp48OySVe6CL1_C-BEhEEiPJmPRREeCgk3zF0vHSty9FJU575q1UkBL4e6Ml9mYdJ86ymsmvAb0q-KlHQ==,53,udp,dns,0.001725196838378,47.0,210.0,SF,True,True,0,Dd,1,75,1,238,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883550.646291,C1tcsJ1a3XMjk8Syfj,gAAAAABnVyhgVzmgttK2mBfkWreM-y-4Xgk_23bTKmsUoaJb9DtCdsQr8zX6jmpjUmp8j1rSI3EJLfQd7PRlmxvrDbXelijBwA==,52243,gAAAAABnVyhgOKoUQgqLZh2IAP3rC0UMF3eQMWZI_UuD8UPpQRNmAz2UwLxnP2PHVCNTQ5f3d3CIfyjtfjT13jelhhGcQArigA==,53,udp,dns,0.0027558803558340003,47.0,110.0,SF,True,True,0,Dd,1,75,1,138,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883550.646293,C0CVC44AKaksbbT784,gAAAAABnVyhg_brLqOKot1UJhwi7NF4MKwQlsUkKBLTMQGKMYW_wYxxlORL05N9AZhY8hn7v7m16JA3uuztSNg3uZiACHwnWiA==,14217,gAAAAABnVyhgMX-e7uNYzKEevQ5C7BxLO5Z18u5IkFNMb4cZbgCgq85yoybXBdEgFQrtgfXzEDzeYfd-xqpaOlqVypjVS1vw6g==,53,udp,dns,0.003847122192382,47.0,210.0,SF,True,True,0,Dd,1,75,1,238,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
1428883550.803123,C2ycxn21FECJm0TOvi,gAAAAABnVyhg9b4XmpVLETeeVP6bVqtf-HB0uECpHdukSmyNRK9kuAJR76bThxzt2KrdBpHF9WfI0OmbYTG1j9MUzj8-q8HXJg==,20897,gAAAAABnVyhgMhU59JICZ-uVXb1Ssx4sX26MV9HHefqH5-x1F0n8nmFsYpzqOvzvlXJlHcxrJIkYQCJalKYrn0gbPmSa4E2Vbg==,53,udp,dns,0.00189208984375,47.0,210.0,SF,True,True,0,Dd,1,75,1,238,Zewnetrzne,Nie,Nie,53,Standardowy,Brak API,Brak API
